algorithm,type,size,time_us,comparisons
MSBRadixSort,random,2700,1798.9,0
MSBRadixHybrid,random,2700,4416,14007
StdQuickSort,reverse,2700,4649.9,215225
StdMergeSort,reverse,2700,5510.2,25047
TernaryQuickSort,reverse,2700,6063.3,25415
StringMergeSort,reverse,2700,4342.2,10751
MSBRadixSort,reverse,2700,1743.6,0
MSBRadixHybrid,reverse,2700,3404.9,11059
StdQuickSort,almost,2700,4496.4,213465
StdMergeSort,almost,2700,4063,27197
TernaryQuickSort,almost,2700,6055.4,25465
StringMergeSort,almost,2700,4504.8,10251
MSBRadixSort,almost,2700,1749.3,0
MSBRadixHybrid,almost,2700,3393.7,11095
StdQuickSort,random,2800,7226.8,245644
StdMergeSort,random,2800,4154.2,40992
TernaryQuickSort,random,2800,10054.6,38858
StringMergeSort,random,2800,5510.2,25764
MSBRadixSort,random,2800,1863.4,0
MSBRadixHybrid,random,2800,4604.6,14684
StdQuickSort,reverse,2800,4691.1,224265
StdMergeSort,reverse,2800,4303.2,26063
TernaryQuickSort,reverse,2800,6044.1,26579
StringMergeSort,reverse,2800,4656.6,11159
MSBRadixSort,reverse,2800,1806.9,0
MSBRadixHybrid,reverse,2800,4021.1,11638
StdQuickSort,almost,2800,4747.2,221570
StdMergeSort,almost,2800,4099.1,27600
TernaryQuickSort,almost,2800,6249,26607
StringMergeSort,almost,2800,4475.9,10552
MSBRadixSort,almost,2800,1816.1,0
MSBRadixHybrid,almost,2800,3578.3,11666
StdQuickSort,random,2900,7271.9,253215
StdMergeSort,random,2900,4325.6,42747
TernaryQuickSort,random,2900,9239.3,33704
StringMergeSort,random,2900,5929.4,26786
MSBRadixSort,random,2900,2113.8,0
MSBRadixHybrid,random,2900,4804.1,15540
StdQuickSort,reverse,2900,4762.3,239569
StdMergeSort,reverse,2900,4540.1,27180
TernaryQuickSort,reverse,2900,6886.7,27659
StringMergeSort,reverse,2900,5403.3,11624
MSBRadixSort,reverse,2900,1902.6,0
MSBRadixHybrid,reverse,2900,4040,12200
StdQuickSort,almost,2900,4804.2,237159
StdMergeSort,almost,2900,4117.4,29322
TernaryQuickSort,almost,2900,7274.4,27632
StringMergeSort,almost,2900,4915.4,11063
MSBRadixSort,almost,2900,1932,0
MSBRadixHybrid,almost,2900,3780.7,12225
StdQuickSort,random,3000,8100.4,260572
StdMergeSort,random,3000,4477.3,44519
TernaryQuickSort,random,3000,9684.8,36851
StringMergeSort,random,3000,7119.6,27830
MSBRadixSort,random,3000,2131.6,0
MSBRadixHybrid,random,3000,5203.6,16345
StdQuickSort,reverse,3000,5344.4,250265
StdMergeSort,reverse,3000,4177.9,28190
TernaryQuickSort,reverse,3000,7420.7,28698
StringMergeSort,reverse,3000,5102.8,12055
MSBRadixSort,reverse,3000,1952.2,0
MSBRadixHybrid,reverse,3000,4058.9,12752
StdQuickSort,almost,3000,5465.6,249119
StdMergeSort,almost,3000,4406.6,31085
TernaryQuickSort,almost,3000,6657.6,28720
StringMergeSort,almost,3000,4888.3,11442
MSBRadixSort,almost,3000,2097.2,0
MSBRadixHybrid,almost,3000,4231.3,12773
